elaborate,infected,struggling,internal,detailed
degrade,lessen,flatten,inspect,humiliate
economical,religious,common,rich,cheap
modify,create,disagree,differentiate,change
ravenous,thirsty,nocturnal,combative,hungry
child,beam,ancestor,lunch,offspring
unite,find,hurl,repair,join
paradise,consonant,seaside,Hell,nirvana
vintage,astonishing,alchoholic,adaptable,retro
bigoted,indecisive,tangible,difficult,prejudiced
onset,put,iron,milk,beginning
ending,null,foot,trial,finale
corpulent,physical,deadly,quixotic,chubby
juvenile,criminal,elderly,trivial,youth
altitude,ability,width,length,height
friend,favour,example,gathering,mate
kill,wonder,injure,finish,murder
wide,flavourful,ethereal,blushing,broad
narrow,far,thick,unintelligent,thin
cookie,scone,pastry,cake,biscuit
gratification,endurance,zephyr,worry,fulfilment
aptitude,speed,business,height,ability
appetite,grandeur,illness,clover,hunger
comprehend,compromise,owe,interrupt,understand
compound,punch,admit,revery,worsen
amalgamation,average,file,rest,mixture
believe,observe,distrust,owe,trust
quota,opposite,dust,saying,allowance
ration,chew,hate,slow,limit
guess,amuse,sigh,decorate,estimate
option,command,trick,islet,choice
perspire,urinate,breathe,vomit,sweat
breathe,wake,taste,shiver,respire
conspire,carry,subtract,stretch,plot
catalyst,ancestor,guarantee,colour,cause
constraint,anxiety,defense,tightness,limit
worry,credit,alarm,ask,concern
anomaly,agreement,forgetfulness,retirement,outlier
funny,ludicrous,squealing,common,amusing
rehearsal,funeral,lesson,discovery,practice
saccharine,shallow,cheerful,culinary,sweet
tolerant,acceptable,defective,faded,accepting
jubilee,peace,trace,freedom,anniversary
thief,river,spark,song,burglar
negotiate,earn,receive,dance,bargain
empirical,receptive,theoretical,royal,verifiable
friendly,obedient,abrasive,ugly,amiable
communal,handsome,socialist,eclectic,shared
house,payment,hotel,plough,residence
tenacious,frantic,childish,ablaze,stubborn
persistent,shocking,tense,vigorous,determined
disloyal,diligent,faulty,obscene,fickle
eligible,aspiring,superficial,single,qualified
reckless,resolute,nasty,tidy,rash
citizens,democracy,politicians,committee,populace
bland,laughable,wary,white,plain
feast,hammer,harbour,flavour,banquet
clue,inquest,suspect,pollution,hint
serendipity,truthfulness,courage,expansion,luck
plagiarise,describe,possess,calculate,copy
feline,fox,dog,queue,cat
check,wonder,colour,instruct,verify
pedantic,delirious,healthy,agreeable,fastidious
concur,dare,debate,injure,agree
fraud,danger,expansion,root,scam
cup,bowl,plate,fork,mug
conference,plantation,cemetery,notebook,meeting
progression,support,regret,distribution,advancement
trick,perform,hop,puncture,defraud
concert,gathering,money,effort,gig
modern,argumentative,ubiquitous,determined,contemporary
build,radiate,entertain,provide,construct
dispute,voyage,hatred,exhume,argument
laundry,wire,housework,larder,washing
border,river,judge,country,partition
tarnish,exhaust,clean,polish,sully
filthy,sincere,tense,bashful,dirty
toss,amuse,decay,observe,throw
mistreat,inform,drain,eat,abuse
tablet,hill,goose,plinth,pill
deity,couple,rhythm,rainstorm,god
religion,afterthought,servant,drawer,faith
boogy,fasten,tickle,announce,dance
delicate,elated,naive,wistful,fragile
calm,weak,dispensable,lucky,relaxed
crucial,malicious,volatile,abandoned,vital
resign,communicate,refuse,preserve,quit
veteran,ex-builder,ex-policeman,ex-clown,ex-soldier
unearth,develop,rush,empty,discover
link,necklace,weakness,treatment,connection
wealth,breadth,plot,cellar,riches
dale,chipmunk,vessel,rainstorm,valley
forest,discussion,grain,wilderness,wood
folklore,constitution,populace,linen,mythology
demand,remember,satisfy,terrify,request
urge,shrug,obey,fade,encourage
scratch,detect,confess,build,itch
metropolis,hamlet,train,car,city
dither,float,steal,whisper,hesitate
audience,radio,page,visitors,spectators
egregious,fantastic,peculiar,ostentatious,appalling
